Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1984,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,13308.0
1986,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,13135.0
1988,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,14872.0
1990,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,14571.0
1992,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,13354.0
1994,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,12946.0
1996,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,11972.0
1980,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,5959.0
1982,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,4786.0
1984,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,3828.0
1986,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,4696.0
1988,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,4195.0
1990,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,3924.0
1992,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,5055.0
1994,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,4876.0
1996,Person-trips,Canada,Overnight,"15-19 years (x 1,000)",v130945,1.1.3.3,4223.0
1980,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,9850.0
1982,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,8384.0
1984,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,7015.0
1986,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,8366.0
1988,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,7967.0
1990,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,6493.0
1992,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,6818.0
1994,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,6604.0
1996,Person-trips,Canada,Overnight,"20-24 years (x 1,000)",v130948,1.1.3.4,5957.0
